Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
16.00 13.33 -0.38 0.63 -1.13 1.81
16.00 13.33 -0.38 0.63 -1.13 1.84
16.00 13.33 -0.38 0.63 -1.16 1.69
16.00 13.33 -0.38 0.63 -1.13 1.69
16.00 13.33 -0.38 0.63 -1.16 1.83
16.00 13.33 -0.38 0.63 -1.16 1.75
16.00 13.33 -0.38 0.63 -1.23 1.88
16.00 13.33 -0.38 0.63 -1.27 1.92
16.00 13.33 -0.38 0.63 -1.23 1.91
16.00 13.33 -0.38 0.63 -1.19 1.91
16.00 13.33 -0.38 0.63 -1.13 1.84
16.00 13.33 -0.38 0.63 -1.06 1.84
16.00 13.33 -0.38 0.63 -1.06 1.81
16.00 13.33 -0.38 0.63 -1.00 1.86
16.00 13.33 -0.38 0.63 -0.91 1.84
16.00 13.33 -0.38 0.63 -1.16 1.86
16.00 13.33 -0.38 0.63 -1.08 1.86
16.00 13.33 -0.38 0.63 -1.16 1.88
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.11 1.91
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.11 1.89
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.14 1.91
16.00 13.33 -0.38 0.63 -1.13 1.89
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.16 1.83
16.00 13.33 -0.38 0.63 -1.13 1.88
16.00 13.33 -0.38 0.63 -1.14 1.89
16.00 13.33 -0.38 0.63 -1.16 1.91
16.00 13.33 -0.38 0.63 -1.13 1.92
16.00 13.33 -0.38 0.63 -1.11 1.94
16.00 13.33 -0.38 0.63 -1.16 1.92
16.00 13.33 -0.38 0.63 -1.13 1.92
16.00 13.33 -0.38 0.63 -1.11 1.92
16.00 13.33 -0.38 0.63 -1.14 1.92
16.00 13.33 -0.38 0.63 -1.14 1.94
16.00 13.33 -0.38 0.63 -1.16 1.91
16.00 13.33 -0.38 0.63 -1.13 1.91
16.00 13.33 -0.38 0.63 -1.13 1.92
16.00 13.33 -0.38 0.63 -1.16 1.88
16.00 13.33 -0.38 0.63 -1.14 1.81
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.14 1.84
16.00 13.33 -0.38 0.63 -1.13 1.88
16.00 13.33 -0.38 0.63 -1.11 1.91
16.00 13.33 -0.38 0.63 -1.09 1.95
16.00 13.33 -0.38 0.63 -1.11 2.00
16.00 13.33 -0.38 0.63 -1.05 1.95
16.00 13.33 -0.38 0.63 -1.13 1.91
16.00 13.33 -0.38 0.63 -1.16 1.91
16.00 13.33 -0.38 0.63 -1.13 1.94
16.00 13.33 -0.38 0.63 -1.17 1.98
16.00 13.33 -0.38 0.63 -1.14 2.00
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.13 1.80
16.00 13.33 -0.38 0.63 -1.13 1.83
16.00 13.33 -0.38 0.63 -1.13 1.91
16.00 13.33 -0.38 0.63 -1.11 1.86
16.00 13.33 -0.38 0.63 -1.11 1.64
16.00 13.33 -0.38 0.63 -1.14 1.70
16.00 13.33 -0.38 0.63 -1.13 1.66
16.00 13.33 -0.38 0.63 -1.14 1.64
16.00 13.33 -0.38 0.63 -1.16 1.77
16.00 13.33 -0.38 0.63 -1.22 1.86
16.00 13.33 -0.38 0.63 -1.20 1.83
16.00 13.33 -0.38 0.63 -1.25 1.86
16.00 13.33 -0.38 0.63 -1.23 1.86
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.17 1.95
16.00 13.33 -0.38 0.63 -1.05 1.94
16.00 13.33 -0.38 0.63 -0.98 1.84
16.00 13.33 -0.38 0.63 -1.00 1.73
16.00 13.33 -0.38 0.63 -1.06 1.80
16.00 13.33 -0.38 0.63 -1.13 1.77
16.00 13.33 -0.38 0.63 -1.17 1.80
16.00 13.33 -0.38 0.63 -1.17 1.77
