,,Xie0406:LASI,,,Xie0406:RASI,,,Xie0406:LPSI,,,Xie0406:RPSI,,,Xie0406:LTHI,,,Xie0406:LKNE,,,Xie0406:LTIB,,,Xie0406:LANK,,,Xie0406:LHEE,,,Xie0406:LTOE,,,Xie0406:RTHI,,,Xie0406:RKNE,,,Xie0406:RTIB,,,Xie0406:RANK,,,Xie0406:RHEE,,,Xie0406:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
88,0,,,,,,,,,,,,,,,,,,,427.62,1730.27,452.476,580.116,1728.72,174.664,,,,748.935,1709.93,306.158,70.845,1331.22,424.917,,,,218.112,1332.51,52.5456,,,,,,,,,
89,0,,,,,,,,,,,,,,,,,,,438.345,1727.32,461.136,596.146,1726.05,185.984,,,,762.096,1700.69,320.127,71.3583,1330.73,424.801,,,,219.806,1332.42,52.642,,,,,,,,,
90,0,,,,,,,,,,,,,,,,,,,448.624,1724.4,469.853,610.724,1722.88,196.877,,,,774.349,1691.89,333.95,71.8033,1330.2,424.739,,,,219.931,1332.57,52.512,,,,,,,,,
91,0,,,,,,,,,,,,,,,,,,,458.114,1721.48,478.666,624.446,1720.12,208.065,,,,785.448,1683.75,347.364,71.5501,1330.88,424.247,,,,219.97,1332.52,52.4506,,,,,,,,,
92,0,,,,,,,,,,,,,,,,,,,467.378,1718.62,487.296,636.747,1716.48,218.584,,,,795.382,1676.75,360.184,72.248,1329.61,424.623,,,,220.001,1332.52,52.4266,,,,,,,,,
93,0,,,,,,,,,,,,,,,,,,,475.818,1715.66,495.835,648.151,1712.72,228.56,,,,804.43,1671.57,372.591,72.4313,1329.4,424.549,,,,220.042,1332.51,52.4066,,,,,,,,,
94,0,,,,,,,,,,,,,,,,,,,483.78,1712.82,504.01,658.869,1708.95,238.444,,,,812.843,1668,384.733,72.5557,1329.29,424.498,,,,220.096,1332.5,52.3966,,,,,,,,,
95,0,,,,,,,,,,,,,,,,,,,491.208,1710.11,511.959,668.99,1705.04,247.927,,,,820.603,1665.06,396.768,72.6899,1329.06,424.265,,,,220.125,1332.5,52.3907,,,,,,,,,
96,0,,,,,,,,,,,,,,,,,,,497.878,1707.29,519.495,678.581,1701.04,257.21,,,,827.996,1662.6,408.473,72.686,1329.01,424.257,,,,220.159,1332.49,52.3977,,,,,,,,,
97,0,,,,,,,,,,,,,,,,,,,504.362,1704.76,526.703,687.796,1697.13,266.391,,,,834.801,1660.07,419.881,72.5881,1328.94,424.254,,,,220.165,1332.49,52.3932,,,,,,,,,
